iter	Logloss
0	0.6618233759
1	0.6283518795
2	0.6028589073
3	0.5777293825
4	0.5585057254
5	0.5424776052
6	0.5265937795
7	0.5113835881
8	0.4980191507
9	0.4877219378
10	0.4752541265
11	0.4651254756
12	0.4544425472
13	0.4435500151
14	0.4354962541
15	0.4291381702
16	0.4233901996
17	0.4179934806
18	0.4129047669
19	0.4084508188
20	0.4046468083
21	0.4016299366
22	0.3974989772
23	0.3937431909
24	0.3909434613
25	0.3875458563
26	0.3842937276
27	0.3819354242
28	0.3795650263
29	0.3775678997
30	0.3750476785
31	0.3736451474
32	0.372043898
33	0.3709390275
34	0.3687162794
35	0.3676057875
36	0.3662462149
37	0.3650753389
38	0.3633872572
39	0.3622025138
40	0.3605184851
41	0.3591166711
42	0.3584011854
43	0.3573919784
44	0.3556732975
45	0.3548642415
46	0.3539524078
47	0.3529889327
48	0.3521795109
49	0.3507830879
50	0.350043211
51	0.3491487682
52	0.3481733359
53	0.347142856
54	0.3464075823
55	0.3454167663
56	0.3444453185
57	0.3439658837
58	0.3425384185
59	0.3417683383
60	0.341151859
61	0.3400563883
62	0.3391076987
63	0.3380411184
64	0.337487517
65	0.3364655678
66	0.3362064048
67	0.3358361585
68	0.335305864
69	0.3349070668
70	0.3344067811
71	0.333753329
72	0.3333508511
73	0.3326793776
74	0.3317150568
75	0.3311156867
76	0.3305548941
77	0.3299033667
78	0.3293942922
79	0.3289311975
80	0.3287362417
81	0.3283715984
82	0.3274531859
83	0.3272936435
84	0.3268335272
85	0.3265816005
86	0.3263940813
87	0.3261468754
88	0.3254652446
89	0.3246504196
90	0.3244431607
91	0.3240808185
92	0.3240787787
93	0.323334385
94	0.3229838828
95	0.3224556919
96	0.3217486919
97	0.3216095619
98	0.3212312031
99	0.3204538909
100	0.3199499367
101	0.3191323994
102	0.3188391791
103	0.3180956262
104	0.31736094
105	0.3172319733
106	0.3170158143
107	0.3169583159
108	0.3165080727
109	0.3160500364
110	0.3158580279
111	0.3155863062
112	0.3150206295
113	0.3149300359
114	0.3143786249
115	0.3143560092
116	0.3140963779
117	0.3139866099
118	0.3137771959
119	0.3136366983
120	0.3136068615
121	0.313317426
122	0.3129748547
123	0.3125840254
124	0.3121421947
125	0.3120827121
126	0.3117525408
127	0.3112730089
128	0.3110289432
129	0.3106000264
130	0.3099020653
131	0.3097277171
132	0.30931429
133	0.3089059092
134	0.3086092298
135	0.308079819
136	0.3079207043
137	0.3070677454
138	0.3070129417
139	0.3069651534
140	0.3069648293
141	0.3063912023
142	0.3060243359
143	0.305614235
144	0.3050181248
145	0.3048508083
146	0.3045193848
147	0.3044874027
148	0.3042036073
149	0.3041072156
150	0.3036624543
151	0.3032496839
152	0.3027778855
153	0.3025158414
154	0.3023608782
155	0.301936667
156	0.3016306997
157	0.3011403663
158	0.3011391027
159	0.3009067077
160	0.3005823052
161	0.3004913417
162	0.3000523781
163	0.2997351508
164	0.2995020192
165	0.2989957662
166	0.2986587871
167	0.2983255861
168	0.2982363901
169	0.2981702675
170	0.2979582444
171	0.2977457085
172	0.2975314266
173	0.2972701896
174	0.2971362422
175	0.2967665568
176	0.2967277427
177	0.2964551493
178	0.2961519108
179	0.2956028044
180	0.2955530921
181	0.2952735216
182	0.2951518373
183	0.2950990531
184	0.2948213048
185	0.2947991255
186	0.2943070602
187	0.293462107
188	0.2934291598
189	0.2929574066
190	0.2926011139
191	0.2925065508
192	0.2924418128
193	0.2921209578
194	0.2920955668
195	0.291801599
196	0.2915490024
197	0.2914309387
198	0.2912837664
199	0.2910295325
200	0.2909935648
201	0.2903504682
202	0.2902633315
203	0.2901059093
204	0.2896315224
205	0.2895864582
206	0.2894145423
207	0.2890202584
208	0.2888309992
209	0.2887903403
210	0.2884470564
211	0.2882821624
212	0.2881346062
213	0.2881148035
214	0.2878626132
215	0.287761151
216	0.2872503328
217	0.2872110426
218	0.2870858256
219	0.2868004706
220	0.2861193758
221	0.2860933288
222	0.285546975
223	0.2851528131
224	0.2847273922
225	0.2845209443
226	0.2843860046
227	0.2838926926
228	0.283743521
229	0.2835028484
230	0.2832203399
231	0.2831106888
232	0.282864315
233	0.2826600135
234	0.282209316
235	0.2821538595
236	0.2817958954
237	0.2816089497
238	0.2815905485
239	0.2814449167
240	0.2812409371
241	0.280974783
242	0.2805842068
243	0.2803970278
244	0.2801948395
245	0.280028965
246	0.2796364123
247	0.2793078307
248	0.2792852826
249	0.2792511071
250	0.2791312025
251	0.2790637534
252	0.279030019
253	0.2790036523
254	0.2786537327
255	0.2782017022
256	0.2781121397
257	0.2780256256
258	0.2779446163
259	0.2775619703
260	0.2772907888
261	0.2771067511
262	0.2768460657
263	0.2768178892
264	0.2765719217
265	0.2765617315
266	0.276214007
267	0.2761158129
268	0.2758652562
269	0.2756652078
270	0.274997194
271	0.2749524779
272	0.2747478591
273	0.2747366655
274	0.2747096908
275	0.2745215945
276	0.274334124
277	0.2741307685
278	0.2740718904
279	0.2738557714
280	0.2733830604
281	0.2732699588
282	0.2732471625
283	0.2731139673
284	0.2730849209
285	0.2729666607
286	0.2727573603
287	0.2727291081
288	0.2726555448
289	0.2723296102
290	0.2720541987
291	0.2720227074
292	0.2717618582
293	0.2716128487
294	0.2715893421
295	0.2713169326
296	0.2712462532
297	0.270928827
298	0.2707790347
299	0.2706423363
300	0.2703230071
301	0.2703085925
302	0.2701410063
303	0.2699818366
304	0.2696346829
305	0.2690853304
306	0.2690285787
307	0.2688524056
308	0.2688336689
309	0.2686097919
310	0.2683569464
311	0.2682641764
312	0.2682284532
313	0.2681670796
314	0.2678972566
315	0.2675648929
316	0.2673432969
317	0.2673326445
318	0.2670902946
319	0.2666555509
320	0.2665619836
321	0.2662343389
322	0.2657907002
323	0.2656465534
324	0.2655226959
325	0.26531443
326	0.2652201388
327	0.2650630592
328	0.2649043249
329	0.2647395016
330	0.2646922567
331	0.2643899272
332	0.264090061
333	0.2638984599
334	0.2635470038
335	0.2633360537
336	0.2631728898
337	0.2629533255
338	0.2627704061
339	0.2625400454
340	0.2622745181
341	0.2622308261
342	0.2620257024
343	0.2620063706
344	0.2616408662
345	0.2613703067
346	0.2612842494
347	0.26125947
348	0.2611593608
349	0.2608394077
350	0.2608203982
351	0.2606373761
352	0.2605906139
353	0.2603571005
354	0.2601569804
355	0.2599936921
356	0.2596031719
357	0.259470547
358	0.2592630538
359	0.2591648455
