iter	Passed	Remaining
0	6	6265
1	10	4986
2	13	4229
3	16	3913
4	19	3740
5	23	3736
6	26	3561
7	29	3470
8	32	3417
9	36	3411
10	40	3460
11	43	3414
12	47	3373
13	50	3339
14	53	3302
15	56	3291
16	60	3317
17	64	3305
18	67	3294
19	70	3281
20	74	3271
21	77	3273
22	81	3256
23	84	3239
24	88	3253
25	92	3274
26	96	3269
27	99	3248
28	103	3281
29	109	3332
30	112	3333
31	116	3323
32	120	3320
33	123	3315
34	126	3300
35	129	3286
36	133	3276
37	136	3267
38	139	3249
39	143	3246
40	147	3244
41	151	3258
42	154	3237
43	157	3234
44	161	3235
45	165	3228
46	167	3211
47	170	3196
48	175	3215
49	179	3216
50	182	3204
51	185	3195
52	189	3186
53	193	3203
54	198	3215
55	201	3208
56	205	3212
57	209	3205
58	213	3202
59	216	3203
60	220	3197
61	223	3192
62	227	3186
63	231	3186
64	234	3181
65	238	3175
66	241	3174
67	245	3170
68	249	3175
69	253	3170
70	256	3160
71	259	3144
72	262	3135
73	265	3133
74	270	3136
75	273	3133
76	276	3125
77	280	3122
78	283	3111
79	286	3103
80	289	3087
81	293	3089
82	297	3089
83	300	3081
84	303	3071
85	306	3066
86	310	3066
87	313	3058
88	318	3068
89	322	3064
90	325	3060
91	328	3053
92	331	3036
93	335	3040
94	338	3032
95	343	3039
96	347	3039
97	351	3039
98	355	3037
99	358	3033
100	361	3026
101	364	3018
102	367	3010
103	371	3006
104	375	3004
105	378	2998
106	381	2993
107	384	2983
108	387	2976
109	391	2974
110	395	2973
111	398	2966
112	402	2969
113	406	2965
114	411	2970
115	414	2963
116	417	2958
117	421	2956
118	424	2949
119	428	2949
120	431	2940
121	434	2936
122	437	2929
123	441	2924
124	445	2925
125	449	2923
126	454	2929
127	458	2929
128	462	2931
129	466	2931
130	470	2926
131	474	2925
132	477	2919
133	481	2915
134	485	2916
135	488	2911
136	492	2907
137	495	2901
138	499	2897
139	502	2893
140	504	2879
141	507	2872
142	511	2871
143	515	2870
144	518	2865
145	521	2860
146	525	2855
147	527	2845
148	530	2837
149	534	2836
150	537	2830
151	540	2823
152	543	2817
153	546	2813
154	552	2818
155	556	2816
156	560	2818
157	565	2819
158	567	2808
159	570	2803
160	574	2798
161	577	2794
162	580	2789
163	584	2784
164	587	2783
165	591	2780
166	596	2782
167	600	2780
168	603	2776
169	607	2771
170	611	2770
171	614	2764
172	617	2760
173	622	2762
174	626	2758
175	630	2757
176	634	2755
177	637	2751
178	642	2752
179	646	2749
180	649	2743
181	652	2738
182	655	2733
183	658	2729
184	662	2725
185	666	2724
186	670	2721
187	673	2716
188	677	2715
189	681	2711
190	685	2708
191	688	2703
192	691	2698
193	695	2694
194	699	2693
195	702	2688
196	705	2683
197	708	2677
198	712	2675
199	716	2671
200	719	2667
201	722	2662
202	727	2661
203	730	2655
204	734	2653
205	737	2648
206	741	2648
207	745	2644
208	749	2643
209	753	2639
210	755	2632
211	759	2628
212	762	2624
213	766	2621
214	769	2617
215	773	2612
216	777	2610
217	780	2606
218	784	2604
219	787	2599
220	791	2597
221	795	2594
222	799	2590
223	802	2586
224	805	2582
225	809	2578
226	812	2573
227	816	2571
228	819	2566
229	825	2568
230	828	2565
231	832	2560
232	835	2557
233	839	2554
234	845	2556
235	849	2556
236	854	2556
237	858	2554
238	862	2551
239	865	2546
240	869	2542
241	872	2539
242	876	2535
243	880	2531
244	883	2528
245	886	2523
246	890	2519
247	894	2516
248	897	2511
249	900	2507
250	903	2502
251	907	2498
252	910	2494
253	914	2491
254	918	2489
255	922	2485
256	925	2481
257	929	2478
258	932	2473
259	936	2470
260	940	2468
261	944	2465
262	947	2460
263	950	2455
264	954	2454
265	958	2451
266	961	2445
267	965	2442
268	969	2438
269	973	2437
270	976	2432
271	981	2432
272	985	2428
273	988	2423
274	992	2421
275	996	2418
276	1000	2416
277	1003	2412
278	1008	2410
279	1011	2406
280	1015	2402
281	1018	2397
282	1021	2393
283	1025	2390
284	1028	2385
285	1032	2382
286	1035	2378
287	1040	2376
288	1044	2373
289	1047	2369
290	1051	2366
291	1055	2363
292	1058	2359
293	1062	2356
294	1066	2354
295	1070	2350
296	1074	2347
297	1077	2342
298	1080	2338
299	1085	2337
300	1090	2335
301	1093	2331
302	1096	2327
303	1100	2323
304	1103	2320
305	1107	2316
306	1110	2312
307	1114	2307
308	1118	2305
309	1122	2302
310	1127	2301
311	1131	2298
312	1135	2295
313	1138	2290
314	1141	2286
315	1144	2281
316	1147	2277
317	1151	2274
318	1156	2272
319	1160	2269
320	1163	2266
321	1166	2261
322	1170	2258
323	1175	2256
324	1179	2252
325	1182	2248
326	1185	2244
327	1189	2240
328	1193	2239
329	1197	2235
330	1201	2231
331	1204	2227
332	1207	2223
333	1211	2219
334	1215	2216
335	1217	2210
336	1222	2209
337	1225	2204
338	1228	2199
339	1231	2195
340	1235	2192
341	1238	2187
342	1242	2183
343	1245	2180
344	1249	2176
345	1253	2172
346	1257	2169
347	1260	2166
348	1264	2162
349	1267	2157
350	1271	2154
351	1274	2150
352	1278	2148
353	1282	2145
354	1286	2141
355	1290	2138
356	1294	2135
357	1297	2131
358	1301	2128
359	1304	2123
360	1308	2120
361	1311	2116
362	1315	2113
363	1319	2109
364	1322	2105
365	1327	2103
366	1331	2100
367	1334	2096
368	1338	2093
369	1342	2089
370	1345	2085
371	1349	2082
372	1353	2078
373	1357	2076
374	1361	2072
375	1364	2068
376	1368	2065
377	1372	2062
378	1376	2058
379	1379	2054
380	1384	2053
381	1388	2050
382	1392	2046
383	1395	2042
384	1399	2038
385	1403	2036
386	1407	2033
387	1411	2029
388	1415	2026
389	1418	2022
390	1421	2017
391	1424	2013
392	1428	2010
393	1432	2006
394	1435	2002
395	1439	1998
396	1443	1996
397	1446	1992
398	1451	1989
399	1454	1985
400	1458	1982
401	1462	1978
402	1465	1974
403	1468	1969
404	1473	1967
405	1477	1964
406	1480	1961
407	1484	1956
408	1487	1952
409	1490	1948
410	1494	1945
411	1498	1941
412	1502	1938
413	1506	1935
414	1510	1932
415	1513	1928
416	1517	1925
417	1520	1921
418	1523	1916
419	1527	1913
420	1532	1911
421	1536	1907
422	1539	1903
423	1544	1900
424	1548	1898
425	1552	1894
426	1555	1890
427	1558	1886
428	1562	1883
429	1566	1879
430	1570	1876
431	1574	1872
432	1577	1868
433	1580	1865
434	1584	1861
435	1587	1857
436	1591	1853
437	1594	1849
438	1598	1846
439	1602	1843
440	1606	1839
441	1610	1835
442	1613	1832
443	1617	1829
444	1621	1826
445	1625	1821
446	1628	1818
447	1632	1814
448	1636	1811
449	1640	1807
450	1643	1804
451	1647	1800
452	1651	1797
453	1655	1794
454	1659	1790
455	1662	1786
456	1667	1783
457	1671	1780
458	1674	1776
459	1678	1773
460	1682	1770
461	1686	1767
462	1690	1763
463	1694	1760
464	1698	1756
465	1701	1752
466	1704	1748
467	1708	1744
468	1711	1740
469	1714	1736
470	1718	1733
471	1722	1730
472	1726	1726
473	1729	1722
474	1733	1718
475	1737	1715
476	1741	1712
477	1745	1709
478	1749	1705
479	1753	1701
480	1756	1697
481	1760	1695
482	1764	1691
483	1767	1687
484	1770	1682
485	1774	1679
486	1778	1676
487	1782	1672
488	1785	1668
489	1788	1664
490	1792	1660
491	1795	1656
492	1799	1653
493	1804	1650
494	1807	1647
495	1811	1643
496	1815	1639
497	1819	1636
498	1822	1632
499	1825	1628
500	1829	1625
501	1833	1621
502	1837	1617
503	1842	1615
504	1845	1611
505	1849	1607
506	1852	1604
507	1856	1600
508	1859	1596
509	1862	1592
510	1866	1588
511	1869	1584
512	1873	1580
513	1877	1577
514	1880	1573
515	1885	1570
516	1888	1566
517	1892	1563
518	1896	1560
519	1900	1557
520	1904	1553
521	1908	1550
522	1913	1547
523	1917	1544
524	1922	1541
525	1925	1537
526	1928	1533
527	1932	1529
528	1935	1525
529	1938	1521
530	1941	1517
531	1945	1514
532	1949	1510
533	1953	1507
534	1957	1503
535	1960	1499
536	1964	1496
537	1967	1492
538	1971	1488
539	1974	1484
540	1978	1481
541	1982	1477
542	1986	1474
543	1990	1470
544	1993	1466
545	1997	1463
546	2002	1460
547	2005	1456
548	2008	1452
549	2011	1448
550	2015	1445
551	2019	1441
552	2023	1437
553	2026	1434
554	2030	1430
555	2033	1426
556	2036	1422
557	2040	1418
558	2043	1414
559	2047	1411
560	2050	1407
561	2054	1403
562	2058	1400
563	2061	1396
564	2065	1392
565	2069	1389
566	2072	1385
567	2076	1381
568	2079	1377
569	2083	1374
570	2087	1370
571	2090	1366
572	2094	1363
573	2098	1359
574	2102	1356
575	2105	1352
576	2108	1348
577	2113	1345
578	2117	1342
579	2121	1338
580	2124	1334
581	2128	1331
582	2131	1327
583	2135	1323
584	2140	1320
585	2144	1317
586	2149	1314
587	2153	1310
588	2157	1307
589	2161	1304
590	2165	1300
591	2168	1296
592	2171	1292
593	2175	1289
594	2178	1285
595	2182	1281
596	2186	1278
597	2190	1275
598	2194	1271
599	2198	1267
600	2202	1264
601	2206	1260
602	2210	1257
603	2214	1253
604	2217	1250
605	2221	1246
606	2224	1242
607	2228	1238
608	2232	1235
609	2236	1232
610	2240	1228
611	2244	1225
612	2248	1221
613	2252	1217
614	2255	1214
615	2259	1210
616	2263	1207
617	2268	1203
618	2272	1200
619	2275	1196
620	2279	1192
621	2283	1189
622	2287	1186
623	2291	1182
624	2295	1178
625	2299	1175
626	2303	1171
627	2307	1168
628	2311	1165
629	2315	1161
630	2319	1157
631	2322	1154
632	2327	1150
633	2331	1147
634	2335	1143
635	2339	1140
636	2342	1136
637	2347	1133
638	2351	1129
639	2354	1125
640	2357	1121
641	2360	1117
642	2363	1113
643	2367	1110
644	2371	1106
645	2375	1103
646	2379	1099
647	2383	1095
648	2387	1092
649	2391	1088
650	2395	1085
651	2398	1081
652	2402	1077
653	2405	1073
654	2408	1069
655	2411	1066
656	2415	1062
657	2419	1059
658	2422	1055
659	2426	1051
660	2430	1047
661	2433	1043
662	2436	1040
663	2440	1036
664	2443	1032
665	2447	1029
666	2451	1025
667	2455	1021
668	2459	1018
669	2463	1014
670	2467	1011
671	2470	1007
672	2474	1003
673	2478	1000
674	2482	996
675	2486	993
676	2490	989
677	2494	986
678	2499	982
